T1,T2,T3
0.9421784,0.80115277,0.8023008
0.86248463,0.86731577,0.8243556
0.83674663,0.8600263,0.837666
0.9095111,0.78762764,0.80002046
0.9503716,0.90564466,0.921245
0.9605143,0.9247855,0.9322154
0.9498469,0.91496843,0.83687955
0.87672526,0.85557556,0.8682827
0.90213794,0.9096128,0.9015834
0.8432994,0.82583755,0.824516
0.9050834,0.8961922,0.87733144
0.8696588,0.8484722,0.84751046
0.9349381,0.9051302,0.8695632
0.9183222,0.9203339,0.9181857
0.90729755,0.8743864,0.86952627
0.92978454,0.8476126,0.8201362
0.87960744,0.86918473,0.8860465
0.8897222,0.8746216,0.8339528
0.79766625,0.8030993,0.79818594
0.83786446,0.8371938,0.8331566
0.78230476,0.8035488,0.714428
0.90465283,0.815078,0.78447294
0.94356346,0.85849935,0.8531079
0.88061285,0.76699317,0.8186933
0.87796044,0.85563177,0.85655457
0.8910291,0.8631607,0.87724113
0.9320666,0.9577008,0.9396369
0.8597256,0.8504887,0.86024046
0.91807246,0.9041015,0.8675409
0.8960782,0.8987433,0.876629
0.86333436,0.8057174,0.81349206
0.8380354,0.8266581,0.8221618
0.940257,0.91602564,0.91570103
0.9275808,0.91243577,0.8870969
0.8956779,0.90210295,0.8874717
0.9086188,0.8959666,0.89611703
0.88837385,0.8699881,0.7952316
0.93770725,0.94624484,0.9139634
0.9137098,0.8929932,0.8891779
0.9020618,0.8656646,0.86641574
0.9163207,0.9005834,0.89078546
0.8085049,0.7700343,0.7874547
0.86332166,0.8602419,0.83201945
0.8970333,0.8920013,0.8545409
0.95881927,0.96579945,0.9504024
0.79465264,0.8009958,0.7780666
0.8843899,0.88558245,0.85841805
0.8994932,0.8738834,0.88882625
0.89570963,0.87769556,0.87586766
0.77875924,0.77442557,0.73787683
0.8777899,0.8468119,0.83909816
0.79478925,0.79992634,0.79695463
0.9197775,0.927852,0.93106323
0.7968092,0.7749902,0.7960589
0.94935876,0.94162476,0.9347131
0.9347144,0.9340291,0.94221103
0.8954297,0.90829796,0.91088724
0.9240191,0.9143957,0.9016234
0.89094025,0.82444614,0.8288064
0.9479917,0.9218574,0.9056374
0.9049449,0.8596596,0.82999945
0.86311024,0.8568127,0.85188776
0.91595036,0.89259475,0.87924457
0.974756,0.9733338,0.957113
0.89357436,0.90392697,0.91010094
0.84179014,0.8209269,0.8263481
0.93267477,0.9295731,0.9165332
